customer_id,_id,pk,order_count,total_dollar_amount,total_item_count
120,120,120,2,8209.78,5
121,121,121,4,16692.28,11
122,122,122,6,17975.15,17
123,123,123,3,6594.29,8
124,124,124,6,17868.010000000002,17
125,125,125,4,13232.349999999999,9
126,126,126,2,8752.54,5
127,127,127,1,2578.06,2
128,128,128,3,7894.289999999999,7
129,129,129,1,2966.13,3
130,130,130,1,5275.24,2
131,131,131,2,12961.25,5
132,132,132,1,2608.42,2
133,133,133,3,12975.220000000001,8
134,134,134,3,8624.64,8
135,135,135,1,4519.41,2
136,136,136,2,4525.52,6
137,137,137,3,8960.5,8
138,138,138,3,11201.9,8
139,139,139,2,10488.39,6
140,140,140,2,2951.08,5
141,141,141,4,16110.71,11
142,142,142,7,40079.2,18
143,143,143,2,5507.48,5
144,144,144,2,2773.58,4
145,145,145,1,1072.62,2
146,146,146,4,16173.900000000001,9
147,147,147,5,22034.760000000002,12
149,149,149,6,22460.34,14
150,150,150,4,22228.49,10
151,151,151,2,4883.22,5
152,152,152,1,1887.74,2
153,153,153,1,6210.45,3
154,154,154,2,6735.86,5
155,155,155,2,9814.470000000001,5
156,156,156,2,6204.29,6
157,157,157,1,3282.12,2
158,158,158,1,6529.71,3
159,159,159,1,739.7,2
160,160,160,3,11174.67,8
162,162,162,2,9351.539999999999,6
163,163,163,2,4602.84,4
164,164,164,1,3549.57,2
165,165,165,2,8407.19,4
166,166,166,2,11921.73,6
167,167,167,4,16471.14,8
168,168,168,4,14941.6,10
169,169,169,4,10195.07,10
170,170,170,2,4889.48,4
171,171,171,3,11110.01,7
172,172,172,3,17724.32,8
173,173,173,3,8009.34,7
174,174,174,3,13898.23,8
175,175,175,4,13086.11,11
176,176,176,6,27927.980000000003,14
177,177,177,7,33445.52,18
178,178,178,4,8317.36,12
179,179,179,3,2823.45,7
180,180,180,3,7623.9800000000005,7
181,181,181,4,16181.68,11
182,182,182,2,9720.89,5
183,183,183,3,14302.880000000001,8
184,184,184,1,3681.68,2
185,185,185,4,5355.24,9
186,186,186,2,6921.880000000001,5
187,187,187,1,3278.74,3
188,188,188,1,5527.66,3
189,189,189,2,14703.91,6
190,190,190,6,26017.31,14
191,191,191,2,9678.52,6
192,192,192,1,4931.92,3
193,193,193,1,2946.39,3
195,195,195,2,6726.75,4
196,196,196,8,31422.46,23
197,197,197,5,28083.690000000002,14
198,198,198,4,14507.66,9
199,199,199,4,11190.119999999999,9
201,201,201,5,18684.33,13
202,202,202,5,19977.76,13
203,203,203,1,2476.62,2
204,204,204,8,24007.4,20
205,205,205,1,8579.76,3
206,206,206,5,15316.82,12
207,207,207,5,13133.960000000001,13
208,208,208,3,8462.86,7
209,209,209,2,12229.099999999999,6
210,210,210,2,5979.26,4
211,211,211,6,21046.19,14
212,212,212,4,14042.82,10
213,213,213,4,17736.93,12
214,214,214,1,5600.93,3
215,215,215,3,15133.88,7
216,216,216,4,11567.349999999999,10
217,217,217,4,11825.310000000001,11
218,218,218,3,8442.74,6
219,219,219,3,9762.77,7
220,220,220,7,21747.089999999997,16
221,221,221,4,16837.91,10
222,222,222,3,15943.8,9
223,223,223,5,20781.3,12
224,224,224,2,5740.11,6
225,225,225,2,8546.47,5
226,226,226,3,6664.04,8
227,227,227,1,7893.99,2
228,228,228,7,24077.589999999997,17
229,229,229,1,4106.72,2
230,230,230,1,3227.48,2
231,231,231,3,8347.28,7
232,232,232,5,27331.42,14
233,233,233,1,5490.85,2
234,234,234,2,4334.96,4
235,235,235,5,26216.03,13
236,236,236,7,25891.85,16
237,237,237,2,10838.9,6
238,238,238,8,34485.60999999999,23
239,239,239,2,6655.29,5
242,242,242,5,19559.660000000003,14
243,243,243,7,22051.83,17
244,244,244,2,6032.8099999999995,6
245,245,245,2,6382.45,5
246,246,246,2,9353.02,6
247,247,247,1,6115.86,2
248,248,248,2,8184.35,5
249,249,249,4,13139.2,10
251,251,251,6,25563.620000000003,15
252,252,252,3,9620.43,7
253,253,253,2,6923.469999999999,4
254,254,254,3,14200.41,7
255,255,255,4,12258.84,9
256,256,256,5,23185.88,13
257,257,257,3,5864.530000000001,7
259,259,259,3,9742.91,7
260,260,260,2,3394.8,6
261,261,261,2,5506.6,4
262,262,262,4,17145.989999999998,12
263,263,263,4,16452.429999999997,9
264,264,264,5,13193.2,13
265,265,265,6,19412.42,15
266,266,266,4,18516.32,12
267,267,267,5,29071.0,14
268,268,268,2,12705.2,4
269,269,269,4,25142.820000000003,11
270,270,270,2,2587.05,5
271,271,271,1,8089.73,3
272,272,272,1,4591.46,2
273,273,273,3,7510.23,6
274,274,274,9,48212.78,21
275,275,275,3,18891.25,7
276,276,276,5,23399.09,14
277,277,277,2,9131.96,5
279,279,279,2,9339.05,5
280,280,280,7,22832.549999999996,18
281,281,281,5,21848.49,13
282,282,282,1,3175.44,2
284,284,284,2,5187.88,5
285,285,285,4,17165.91,10
286,286,286,1,4217.32,3
287,287,287,1,2670.25,2
288,288,288,4,14209.910000000002,10
289,289,289,3,8056.87,6
290,290,290,2,10463.97,6
291,291,291,1,4819.35,2
292,292,292,3,7098.29,8
293,293,293,5,9769.320000000002,11
294,294,294,2,7968.21,5
295,295,295,1,1548.14,2
296,296,296,2,7991.860000000001,4
297,297,297,3,12322.04,8
298,298,298,2,8298.56,5
299,299,299,2,6665.49,5
300,300,300,2,5349.1,4
301,301,301,2,8279.94,4
302,302,302,5,11976.979999999998,11
303,303,303,5,21078.6,12
304,304,304,1,3037.77,2
305,305,305,3,7791.51,7
306,306,306,2,5235.09,5
307,307,307,5,25244.149999999998,14
308,308,308,1,5867.92,3
309,309,309,2,5549.53,5
310,310,310,2,5940.7,5
311,311,311,3,8619.07,7
312,312,312,6,18179.25,14
313,313,313,2,6101.65,4
314,314,314,3,14064.8,7
315,315,315,1,6252.25,3
316,316,316,2,8635.09,5
317,317,317,5,10298.3,11
319,319,319,3,5598.88,6
320,320,320,4,14898.43,10
321,321,321,3,6412.13,8
322,322,322,3,10649.52,6
323,323,323,2,11782.46,6
324,324,324,2,3039.8199999999997,5
325,325,325,1,6377.05,2
326,326,326,6,17947.880000000005,16
327,327,327,2,5088.32,5
328,328,328,2,5774.07,6
329,329,329,2,8443.46,5
330,330,330,2,9168.53,6
331,331,331,2,7252.9400000000005,6
332,332,332,3,14578.4,9
333,333,333,1,7132.54,3
334,334,334,5,21158.88,13
335,335,335,4,12634.1,9
336,336,336,3,13539.14,8
337,337,337,4,19959.440000000002,11
339,339,339,1,3586.37,2
340,340,340,2,10957.880000000001,6
341,341,341,6,28608.769999999997,16
342,342,342,5,20029.93,12
343,343,343,5,17930.79,12
344,344,344,2,11173.779999999999,6
345,345,345,2,5923.87,4
346,346,346,2,9022.81,6
347,347,347,4,16508.19,11
348,348,348,7,28760.91,16
349,349,349,3,12169.54,8
350,350,350,3,9531.79,8
351,351,351,3,11441.439999999999,8
352,352,352,3,8579.64,6
353,353,353,1,1248.19,3
354,354,354,3,6763.3099999999995,8
355,355,355,3,8415.48,7
356,356,356,2,9276.61,5
357,357,357,2,4393.25,4
358,358,358,5,35517.59,13
359,359,359,2,1923.35,5
360,360,360,4,19190.08,11
361,361,361,4,17892.54,9
362,362,362,3,8575.529999999999,7
363,363,363,3,7594.82,7
364,364,364,5,17017.760000000002,13
365,365,365,3,8495.84,7
366,366,366,2,6601.57,4
367,367,367,7,19404.2,14
368,368,368,4,9001.960000000001,10
369,369,369,6,18001.59,14
370,370,370,2,6522.0599999999995,5
371,371,371,2,9438.65,5
372,372,372,4,9620.55,9
373,373,373,4,14526.31,10
374,374,374,2,4580.969999999999,5
375,375,375,3,8709.84,6
376,376,376,3,9409.23,9
377,377,377,1,1959.95,2
378,378,378,1,4589.97,3
379,379,379,4,20306.82,11
380,380,380,1,1739.61,2
381,381,381,3,8342.68,7
382,382,382,5,18850.93,13
383,383,383,4,12680.919999999998,9
384,384,384,3,15607.53,7
385,385,385,5,15969.67,13
386,386,386,2,10801.15,5
387,387,387,1,5507.51,3
388,388,388,3,12662.35,7
389,389,389,4,12334.810000000001,9
390,390,390,5,20555.089999999997,12
391,391,391,2,3597.7700000000004,6
392,392,392,3,9205.78,7
393,393,393,4,18498.95,11
394,394,394,3,10649.11,7
395,395,395,3,13167.59,9
396,396,396,2,9689.3,5
397,397,397,7,25809.82,18
398,398,398,3,14338.349999999999,9
399,399,399,3,12166.080000000002,8
400,400,400,3,11168.150000000001,7
402,402,402,3,10695.66,8
403,403,403,4,17191.15,11
404,404,404,2,5723.97,5
405,405,405,3,11735.310000000001,7
406,406,406,1,2747.76,3
407,407,407,3,13008.59,8
408,408,408,3,13197.33,7
410,410,410,3,12758.26,8
411,411,411,3,5784.120000000001,7
412,412,412,2,8418.32,4
413,413,413,6,20812.85,14
414,414,414,4,9741.67,10
415,415,415,4,13220.329999999998,10
416,416,416,4,12135.369999999999,10
417,417,417,2,6932.32,5
418,418,418,6,13825.679999999997,16
419,419,419,6,25358.989999999998,16
420,420,420,4,16143.11,11
421,421,421,5,25505.84,14
422,422,422,3,7060.460000000001,8
423,423,423,3,12156.06,8
424,424,424,4,17839.170000000002,10
425,425,425,1,3473.41,2
426,426,426,8,39041.270000000004,20
427,427,427,2,5385.92,4
428,428,428,3,6955.05,6
429,429,429,1,961.06,2
430,430,430,1,1220.01,2
431,431,431,2,10294.939999999999,4
432,432,432,3,10665.17,7
433,433,433,1,1458.14,3
434,434,434,1,2319.34,3
435,435,435,11,36562.54,29
436,436,436,4,20031.34,11
437,437,437,4,11163.91,11
438,438,438,3,11322.939999999999,7
439,439,439,7,27320.09,16
440,440,440,2,7704.8099999999995,4
441,441,441,9,44277.86,23
443,443,443,1,1421.54,2
444,444,444,3,12247.18,8
445,445,445,3,14593.41,8
446,446,446,3,10332.65,6
447,447,447,3,16738.29,9
448,448,448,3,8650.41,9
449,449,449,5,12385.07,12
450,450,450,1,662.12,2
451,451,451,3,14699.41,7
452,452,452,3,9739.580000000002,7
453,453,453,4,8878.42,10
454,454,454,3,9717.02,7
455,455,455,2,6381.1,5
456,456,456,3,8539.34,8
457,457,457,4,17556.02,11
458,458,458,3,10659.46,8
459,459,459,2,5490.66,4
460,460,460,6,27652.93,15
461,461,461,5,18827.35,14
462,462,462,5,15795.47,12
464,464,464,2,8612.529999999999,4
465,465,465,2,7410.88,4
466,466,466,6,16790.239999999998,15
467,467,467,7,28374.41,20
468,468,468,3,11918.960000000001,7
469,469,469,6,29911.630000000005,18
470,470,470,1,1037.16,2
471,471,471,4,13639.67,11
472,472,472,5,26327.19,14
473,473,473,5,19383.78,13
474,474,474,4,18594.969999999998,10
475,475,475,3,13235.849999999999,8
476,476,476,8,20283.35,21
477,477,477,3,9472.0,7
478,478,478,2,8055.72,5
479,479,479,1,1396.49,3
480,480,480,1,2658.51,3
481,481,481,4,21339.99,11
482,482,482,7,23598.38,17
483,483,483,3,10488.4,6
484,484,484,3,16472.94,7
485,485,485,2,7615.48,6
486,486,486,2,9903.9,5
487,487,487,2,5565.429999999999,4
488,488,488,5,16821.88,10
489,489,489,2,10283.880000000001,5
490,490,490,5,17328.83,12
491,491,491,2,7577.61,5
492,492,492,2,7339.26,5
493,493,493,3,9098.96,9
494,494,494,3,14659.220000000001,8
495,495,495,4,17554.74,10
496,496,496,3,10985.079999999998,7
497,497,497,3,8765.32,8
498,498,498,3,10873.95,7
499,499,499,6,21096.01,15
500,500,500,4,12781.03,10
501,501,501,2,7817.41,5
502,502,502,4,17378.16,11
503,503,503,5,11865.390000000001,13
504,504,504,3,10330.67,9
505,505,505,2,1975.6100000000001,4
506,506,506,3,12355.330000000002,9
507,507,507,4,12223.029999999999,11
508,508,508,5,10224.630000000001,11
509,509,509,2,6909.530000000001,5
510,510,510,3,14833.239999999998,6
511,511,511,5,19543.23,12
512,512,512,3,10644.06,9
513,513,513,4,18122.59,10
514,514,514,7,24956.77,18
515,515,515,2,7040.12,4
516,516,516,3,7435.360000000001,6
517,517,517,6,28424.39,16
518,518,518,5,16964.04,13
519,519,519,4,14067.71,10
520,520,520,3,11236.630000000001,8
521,521,521,4,13211.920000000002,9
522,522,522,6,22312.620000000003,15
523,523,523,4,13277.21,9
524,524,524,7,31219.869999999995,19
525,525,525,5,15247.220000000001,13
526,526,526,2,4322.030000000001,5
527,527,527,2,5226.25,4
528,528,528,2,6256.38,4
530,530,530,1,5477.7,3
531,531,531,3,14461.27,8
532,532,532,5,21060.160000000003,14
533,533,533,3,14727.04,9
534,534,534,6,28143.090000000004,18
535,535,535,4,15480.15,10
536,536,536,6,23688.410000000003,16
537,537,537,3,10623.04,8
538,538,538,5,17552.43,13
540,540,540,2,5780.3099999999995,5
541,541,541,5,21129.260000000002,12
542,542,542,3,14550.85,9
543,543,543,3,13683.48,8
544,544,544,3,10028.09,8
545,545,545,5,19300.210000000003,13
546,546,546,3,6083.370000000001,7
547,547,547,3,10184.49,8
548,548,548,2,5424.01,4
549,549,549,6,18905.420000000002,15
550,550,550,2,1379.87,5
551,551,551,1,9593.15,3
552,552,552,4,24058.679999999997,10
553,553,553,1,3779.1,2
554,554,554,4,19574.469999999998,9
555,555,555,2,4190.52,5
556,556,556,3,14719.010000000002,7
557,557,557,2,7232.57,5
558,558,558,4,14055.900000000001,9
559,559,559,6,24302.859999999997,14
560,560,560,4,19124.36,10
561,561,561,4,12336.98,9
562,562,562,2,6656.0599999999995,5
564,564,564,7,16381.92,18
565,565,565,4,18917.4,10
566,566,566,3,13156.83,8
567,567,567,1,5632.82,3
568,568,568,2,4750.37,5
569,569,569,2,4936.299999999999,5
570,570,570,3,14331.31,9
571,571,571,7,33069.47,18
572,572,572,3,10941.609999999999,7
573,573,573,2,5050.87,5
574,574,574,1,7113.71,3
575,575,575,3,10497.88,8
576,576,576,3,11946.18,8
577,577,577,5,19970.21,14
578,578,578,3,7529.420000000001,7
579,579,579,4,15722.81,11
580,580,580,4,20858.239999999998,11
581,581,581,3,10261.29,8
582,582,582,2,7279.05,4
583,583,583,3,8148.67,8
584,584,584,4,12347.740000000002,9
585,585,585,2,8706.7,5
586,586,586,4,10517.4,9
587,587,587,6,20030.440000000002,14
588,588,588,2,9750.599999999999,5
589,589,589,6,19154.530000000002,16
590,590,590,3,11164.54,8
591,591,591,2,11220.32,6
592,592,592,3,4860.36,8
593,593,593,5,15504.269999999999,13
594,594,594,4,12791.39,8
595,595,595,5,16290.460000000001,13
596,596,596,2,13012.74,6
597,597,597,5,18671.379999999997,14
598,598,598,6,17184.56,15
599,599,599,3,7735.549999999999,7
600,600,600,3,7593.17,6
601,601,601,4,12495.580000000002,9
602,602,602,6,14624.79,16
603,603,603,3,14555.220000000001,8
604,604,604,3,8620.14,6
605,605,605,5,18513.65,12
606,606,606,3,9059.130000000001,8
607,607,607,4,9188.57,10
608,608,608,2,3274.8,6
609,609,609,2,5056.85,5
610,610,610,1,5677.94,3
611,611,611,2,8534.55,5
612,612,612,2,9822.470000000001,6
613,613,613,2,11576.02,6
614,614,614,1,3437.17,2
615,615,615,3,11187.04,8
616,616,616,4,21771.64,11
617,617,617,5,21278.68,13
618,618,618,2,6395.27,5
619,619,619,1,6182.04,3
621,621,621,5,24075.78,13
622,622,622,2,6292.1,4
623,623,623,2,8321.91,6
624,624,624,2,8938.4,6
625,625,625,3,9116.26,8
626,626,626,3,12808.84,8
627,627,627,2,5193.05,5
628,628,628,1,7232.03,3
629,629,629,4,13090.59,8
630,630,630,2,6082.67,6
631,631,631,4,11691.29,9
632,632,632,4,13075.72,11
633,633,633,3,9850.380000000001,8
634,634,634,6,29268.9,18
636,636,636,4,11334.72,9
637,637,637,3,10769.529999999999,8
638,638,638,3,12353.949999999999,7
639,639,639,3,14630.09,8
640,640,640,5,16365.7,11
641,641,641,4,19852.95,12
642,642,642,4,10660.460000000001,9
643,643,643,5,15489.64,12
644,644,644,2,13649.6,5
645,645,645,2,6933.22,4
646,646,646,4,13256.34,11
647,647,647,4,11951.82,10
648,648,648,2,7137.450000000001,5
649,649,649,2,4708.469999999999,4
650,650,650,1,4858.65,3
651,651,651,3,14217.02,7
652,652,652,1,3761.66,2
653,653,653,3,10638.57,8
654,654,654,5,14052.5,11
655,655,655,1,2911.06,2
656,656,656,2,6476.73,5
657,657,657,2,7891.030000000001,6
658,658,658,2,7781.98,4
659,659,659,6,19018.07,14
660,660,660,5,20230.85,12
662,662,662,1,5627.55,3
663,663,663,4,12912.74,11
664,664,664,5,16704.15,11
665,665,665,4,17977.989999999998,10
666,666,666,1,5847.65,2
667,667,667,1,2600.47,3
668,668,668,1,3280.74,2
669,669,669,6,20480.2,15
670,670,670,2,5372.88,4
671,671,671,2,8715.1,5
672,672,672,3,9301.25,6
673,673,673,3,4094.4400000000005,7
674,674,674,4,13115.330000000002,11
675,675,675,4,15846.18,11
676,676,676,2,5017.9400000000005,6
677,677,677,1,2566.83,2
678,678,678,3,11369.4,8
679,679,679,2,5339.85,4
680,680,680,3,7838.179999999999,7
681,681,681,3,13027.68,8
682,682,682,1,1101.99,2
683,683,683,4,13416.64,11
684,684,684,1,4242.56,3
685,685,685,5,24590.55,13
686,686,686,3,4660.99,6
687,687,687,6,23977.05,16
688,688,688,5,15088.810000000001,12
689,689,689,4,7790.32,9
690,690,690,3,4812.37,7
691,691,691,7,30239.99,18
692,692,692,6,21689.25,16
693,693,693,4,13977.939999999999,10
694,694,694,5,18926.760000000002,12
695,695,695,2,7627.08,5
696,696,696,2,10464.75,5
697,697,697,2,7448.700000000001,6
698,698,698,3,10443.09,7
699,699,699,4,12991.649999999998,10
700,700,700,7,19301.03,16
701,701,701,2,8457.55,5
702,702,702,5,15133.650000000001,13
703,703,703,3,12809.52,8
704,704,704,2,6928.28,5
705,705,705,1,4881.44,2
706,706,706,3,7855.79,9
707,707,707,7,24572.6,17
708,708,708,5,20985.45,10
709,709,709,3,13600.380000000001,8
710,710,710,2,8440.39,6
711,711,711,5,12156.68,12
713,713,713,5,24743.77,13
714,714,714,2,6643.52,6
715,715,715,3,11113.18,8
716,716,716,4,13862.77,9
717,717,717,5,16802.25,11
718,718,718,4,6639.820000000001,8
719,719,719,3,11492.310000000001,9
720,720,720,4,11646.73,11
721,721,721,1,2716.15,3
722,722,722,2,12460.259999999998,5
724,724,724,5,18518.230000000003,13
725,725,725,2,8293.92,6
726,726,726,4,14241.84,9
727,727,727,3,11870.76,8
728,728,728,3,11138.699999999999,8
729,729,729,3,10980.060000000001,7
730,730,730,2,7879.02,4
731,731,731,1,4777.92,2
732,732,732,4,13934.03,12
733,733,733,6,26247.27,16
734,734,734,1,8697.89,3
735,735,735,2,8945.73,6
736,736,736,3,7818.02,6
737,737,737,4,19136.3,9
738,738,738,4,15867.93,10
739,739,739,7,26015.019999999997,17
740,740,740,4,16174.93,11
741,741,741,2,6784.43,4
742,742,742,4,15900.810000000001,9
743,743,743,2,7887.45,6
744,744,744,5,15523.44,13
745,745,745,3,6223.9400000000005,7
746,746,746,4,19460.63,10
747,747,747,1,2665.54,2
748,748,748,2,4736.610000000001,4
749,749,749,4,24833.380000000005,11
750,750,750,4,11681.46,8
751,751,751,3,7889.5599999999995,8
752,752,752,4,11441.849999999999,9
753,753,753,5,15547.59,13
754,754,754,4,31899.03,10
755,755,755,1,3588.32,3
756,756,756,1,4644.45,2
757,757,757,5,14923.01,13
758,758,758,4,13853.460000000001,11
759,759,759,3,12180.83,8
760,760,760,5,18204.87,12
761,761,761,4,15405.500000000002,10
762,762,762,3,9009.95,8
763,763,763,1,1779.27,2
764,764,764,1,2336.72,2
765,765,765,5,15135.880000000001,10
766,766,766,1,2291.5,3
767,767,767,1,5146.31,2
768,768,768,4,14970.86,10
769,769,769,4,13429.34,10
770,770,770,3,7069.67,8
771,771,771,3,13063.28,7
772,772,772,2,6793.2,6
773,773,773,3,8656.57,7
774,774,774,2,5099.99,5
775,775,775,2,9525.57,5
776,776,776,1,6656.8,3
778,778,778,1,3393.65,3
779,779,779,6,20475.440000000002,16
780,780,780,3,6612.41,7
781,781,781,3,10698.3,8
782,782,782,3,9998.25,8
783,783,783,4,13343.0,10
784,784,784,4,9615.73,8
785,785,785,3,15871.96,8
786,786,786,3,10758.130000000001,9
787,787,787,2,6847.1,5
788,788,788,2,18693.03,6
789,789,789,3,10470.300000000001,7
790,790,790,2,12967.91,5
791,791,791,2,4980.93,4
792,792,792,3,7856.210000000001,8
793,793,793,1,5857.69,3
794,794,794,3,13481.39,8
795,795,795,1,3959.05,2
796,796,796,2,5666.23,5
797,797,797,4,11513.47,9
798,798,798,4,10395.689999999999,9
799,799,799,3,4274.49,7
800,800,800,3,13083.98,8
801,801,801,3,12882.8,8
802,802,802,3,13313.830000000002,7
803,803,803,2,5434.209999999999,5
804,804,804,3,11093.76,8
805,805,805,2,7815.52,5
806,806,806,3,13679.86,8
807,807,807,5,15940.76,11
808,808,808,1,3507.47,3
809,809,809,2,10930.82,6
810,810,810,1,2258.02,2
811,811,811,3,6652.849999999999,7
812,812,812,1,1922.3,2
813,813,813,3,9212.220000000001,7
814,814,814,4,13609.45,10
815,815,815,11,43906.97,25
816,816,816,1,3306.45,2
817,817,817,7,21324.380000000005,18
818,818,818,1,507.04,2
819,819,819,4,9583.77,10
820,820,820,2,8872.61,5
821,821,821,1,4990.46,3
822,822,822,2,4253.37,4
823,823,823,5,18628.64,12
824,824,824,5,25338.649999999998,12
825,825,825,2,4210.38,5
826,826,826,3,12155.36,7
827,827,827,1,3080.79,3
828,828,828,5,16912.46,13
829,829,829,3,18612.64,7
831,831,831,6,20957.14,13
832,832,832,5,16038.580000000002,13
833,833,833,5,29317.03,13
834,834,834,2,5557.79,4
835,835,835,1,5164.4,3
836,836,836,2,6371.280000000001,4
837,837,837,3,7388.870000000001,7
838,838,838,5,16167.460000000001,12
839,839,839,1,4172.0,3
840,840,840,7,24597.850000000002,20
841,841,841,6,21850.17,14
842,842,842,1,6870.12,3
843,843,843,1,2016.23,2
844,844,844,4,22507.21,12
846,846,846,5,21705.760000000002,13
847,847,847,3,9242.83,7
848,848,848,2,9447.23,5
849,849,849,8,25849.010000000002,22
850,850,850,1,1031.2,2
851,851,851,8,29795.879999999997,19
852,852,852,3,13254.720000000001,7
854,854,854,4,15486.829999999998,9
855,855,855,5,20607.97,11
856,856,856,2,11438.720000000001,5
857,857,857,4,16824.38,12
858,858,858,3,5462.46,6
859,859,859,1,3097.94,3
860,860,860,4,17286.25,11
861,861,861,1,2025.11,2
862,862,862,6,31839.100000000002,17
863,863,863,1,5256.49,2
864,864,864,3,9468.119999999999,7
865,865,865,2,4992.9400000000005,5
866,866,866,1,4030.43,3
867,867,867,6,14188.66,14
868,868,868,6,25342.67,14
869,869,869,5,17308.39,12
870,870,870,3,14265.37,8
871,871,871,2,6051.87,6
872,872,872,3,18220.34,9
873,873,873,3,10021.24,8
875,875,875,4,11777.41,8
876,876,876,1,4112.48,3
877,877,877,1,3892.15,3
878,878,878,5,18724.81,11
879,879,879,4,8914.619999999999,8
880,880,880,2,5698.3099999999995,5
881,881,881,1,6465.6,2
882,882,882,5,23251.850000000002,12
883,883,883,4,19029.69,11
884,884,884,4,12264.919999999998,9
885,885,885,4,10726.68,8
886,886,886,2,7334.74,4
887,887,887,3,7553.43,8
888,888,888,2,7034.03,5
889,889,889,3,11850.4,9
890,890,890,3,10167.27,7
891,891,891,3,5747.6900000000005,7
893,893,893,3,15012.81,7
894,894,894,2,7896.0599999999995,5
895,895,895,1,5766.7,3
896,896,896,3,6511.46,8
897,897,897,4,18791.93,9
898,898,898,2,9320.16,5
899,899,899,5,20047.15,15
900,900,900,3,12543.23,9
901,901,901,1,3080.04,2
902,902,902,4,14792.8,11
903,903,903,4,16543.899999999998,10
904,904,904,3,9915.24,7
905,905,905,2,3590.12,4
906,906,906,3,8270.91,6
907,907,907,3,11037.09,7
908,908,908,3,7718.139999999999,8
909,909,909,2,3845.42,4
910,910,910,1,3862.59,2
911,911,911,5,20349.699999999997,12
912,912,912,5,15706.469999999998,12
913,913,913,1,3132.01,2
914,914,914,1,2294.17,2
915,915,915,5,18176.03,12
916,916,916,3,18201.67,8
917,917,917,3,9695.779999999999,7
918,918,918,4,10610.41,9
919,919,919,1,2645.28,2
